authors,categories,disc_prices,reg_prices,titles
by Ransom Riggs,Used&nbspTrade Paperback,$7.50,$14.99,Miss Peregrine 03 Library of Souls Third Novel of Miss Peregrines Peculiar Children
by James Dashner,Used&nbspTrade Paperback,$7.50,$9.99,Maze Runner 03 Death Cure
by Jim Butcher,Used&nbspMass Market,$7.50,$9.99,Furies Of Calderon: Codex Alera 1
by Rick Riordan,Used&nbspHardcover,$7.50,$12.99,The Demigod Files: Percy Jackson and the Olympians
by Hilary Mantel,Used&nbspTrade Paperback,$7.50,$18.00,Wolf Hall
by Mo Willems,Used&nbspHardcover,$7.50,$9.99,Happy Pig Day!: An Elephant and Piggie Book
by Chuck Palahniuk,Used&nbspHardcover,$7.50,$26.95,Adjustment Day
"by Bryson, Bill",Used&nbspTrade Paperback,$7.50,$17.00,At Home: A Short History of Private Life
by Toni Morrison,Used&nbspTrade Paperback,$7.50,$14.00,Bluest Eye
by Stephenie Meyer,Used&nbspHardcover,$7.50,$22.99,Twilight 03 Eclipse
by Deb Perelman,Used&nbspHardcover,$7.50,$35.00,Smitten Kitchen Cookbook
"by Erin Hunter, Dave Stevenson",Used&nbspTrade Paperback,$7.50,$7.99,Warriors 02 Fire & Ice
by J K Rowling,Used&nbspHardcover,$7.50,$39.99,Harry Potter and the Sorcerers Stone: Illustrated Edition
